CbTagName;date;ed 
CB First Floor;01/02/2019-00;77
CB First Floor;01/02/2019-01;76
CB First Floor;01/02/2019-02;77
CB First Floor;01/02/2019-03;77
CB First Floor;01/02/2019-04;75
CB First Floor;01/02/2019-05;77
CB First Floor;01/02/2019-06;80
CB First Floor;01/02/2019-07;91
CB First Floor;01/02/2019-08;113
CB First Floor;01/02/2019-09;122
CB First Floor;01/02/2019-10;120
CB First Floor;01/02/2019-11;125
CB First Floor;01/02/2019-12;127
CB First Floor;01/02/2019-13;130
CB First Floor;01/02/2019-14;131
CB First Floor;01/02/2019-15;117
CB First Floor;01/02/2019-16;115
CB First Floor;01/02/2019-17;106
CB First Floor;01/02/2019-18;96
CB First Floor;01/02/2019-19;89
CB First Floor;01/02/2019-20;83
CB First Floor;01/02/2019-21;84
CB First Floor;01/02/2019-22;82
CB First Floor;01/02/2019-23;80
CB First Floor;02/02/2019-00;80
CB First Floor;02/02/2019-01;80
CB First Floor;02/02/2019-02;78
CB First Floor;02/02/2019-03;78
CB First Floor;02/02/2019-04;78
CB First Floor;02/02/2019-05;78
CB First Floor;02/02/2019-06;79
CB First Floor;02/02/2019-07;78
CB First Floor;02/02/2019-08;80
CB First Floor;02/02/2019-09;70
CB First Floor;02/02/2019-10;63
CB First Floor;02/02/2019-11;59
CB First Floor;02/02/2019-12;56
CB First Floor;02/02/2019-13;55
CB First Floor;02/02/2019-14;56
CB First Floor;02/02/2019-15;57
CB First Floor;02/02/2019-16;56
CB First Floor;02/02/2019-17;55
CB First Floor;02/02/2019-18;55
CB First Floor;02/02/2019-19;55
CB First Floor;02/02/2019-20;55
CB First Floor;02/02/2019-21;56
CB First Floor;02/02/2019-22;56
CB First Floor;02/02/2019-23;56
CB First Floor;03/02/2019-00;56
CB First Floor;03/02/2019-01;57
CB First Floor;03/02/2019-02;57
CB First Floor;03/02/2019-03;58
CB First Floor;03/02/2019-04;57
CB First Floor;03/02/2019-05;57
CB First Floor;03/02/2019-06;56
CB First Floor;03/02/2019-07;56
CB First Floor;03/02/2019-08;56
CB First Floor;03/02/2019-09;56
CB First Floor;03/02/2019-10;54
CB First Floor;03/02/2019-11;54
CB First Floor;03/02/2019-12;53
CB First Floor;03/02/2019-13;54
CB First Floor;03/02/2019-14;53
CB First Floor;03/02/2019-15;53
CB First Floor;03/02/2019-16;53
CB First Floor;03/02/2019-17;53
CB First Floor;03/02/2019-18;53
CB First Floor;03/02/2019-19;55
CB First Floor;03/02/2019-20;55
CB First Floor;03/02/2019-21;56
CB First Floor;03/02/2019-22;57
CB First Floor;04/02/2019-23;68
CB First Floor;04/02/2019-00;58
CB First Floor;04/02/2019-01;59
CB First Floor;04/02/2019-02;61
CB First Floor;04/02/2019-03;62
CB First Floor;04/02/2019-04;62
CB First Floor;04/02/2019-05;63
CB First Floor;04/02/2019-06;70
CB First Floor;04/02/2019-07;80
CB First Floor;04/02/2019-08;96
CB First Floor;04/02/2019-09;106
CB First Floor;04/02/2019-10;108
CB First Floor;04/02/2019-11;110
CB First Floor;04/02/2019-12;116
CB First Floor;04/02/2019-13;119
CB First Floor;04/02/2019-14;120
CB First Floor;04/02/2019-15;103
CB First Floor;04/02/2019-16;99
CB First Floor;04/02/2019-17;97
CB First Floor;04/02/2019-18;87
CB First Floor;04/02/2019-19;78
CB First Floor;04/02/2019-20;72
CB First Floor;04/02/2019-21;71
CB First Floor;04/02/2019-22;68
CB First Floor;05/02/2019-00;65
CB First Floor;05/02/2019-01;67
CB First Floor;05/02/2019-02;66
CB First Floor;05/02/2019-03;68
CB First Floor;05/02/2019-04;67
CB First Floor;05/02/2019-05;71
CB First Floor;05/02/2019-06;76
CB First Floor;05/02/2019-07;83
CB First Floor;05/02/2019-08;108
CB First Floor;05/02/2019-09;107
CB First Floor;05/02/2019-10;108
CB First Floor;05/02/2019-11;113
CB First Floor;05/02/2019-12;119
CB First Floor;05/02/2019-13;127
CB First Floor;05/02/2019-14;121
CB First Floor;05/02/2019-15;109
CB First Floor;05/02/2019-16;109
CB First Floor;05/02/2019-17;105
CB First Floor;05/02/2019-18;95
CB First Floor;05/02/2019-19;86
CB First Floor;05/02/2019-20;79
CB First Floor;05/02/2019-21;77
CB First Floor;05/02/2019-22;75
CB First Floor;05/02/2019-23;74
CB First Floor;06/02/2019-00;74
CB First Floor;06/02/2019-01;74
CB First Floor;06/02/2019-02;74
CB First Floor;06/02/2019-03;75
CB First Floor;06/02/2019-04;74
CB First Floor;06/02/2019-05;75
CB First Floor;06/02/2019-06;83
CB First Floor;06/02/2019-07;89
CB First Floor;06/02/2019-08;110
CB First Floor;06/02/2019-09;107
CB First Floor;06/02/2019-10;105
CB First Floor;06/02/2019-11;105
CB First Floor;06/02/2019-12;121
CB First Floor;06/02/2019-13;122
CB First Floor;06/02/2019-14;117
CB First Floor;06/02/2019-15;103
CB First Floor;06/02/2019-16;103
CB First Floor;06/02/2019-17;98
CB First Floor;06/02/2019-18;90
CB First Floor;06/02/2019-19;83
CB First Floor;06/02/2019-20;78
CB First Floor;06/02/2019-21;74
CB First Floor;06/02/2019-22;73
CB First Floor;06/02/2019-23;70
CB First Floor;07/02/2019-00;71
CB First Floor;07/02/2019-01;72
CB First Floor;07/02/2019-02;72
CB First Floor;07/02/2019-03;71
CB First Floor;07/02/2019-04;71
CB First Floor;07/02/2019-05;72
CB First Floor;07/02/2019-06;81
CB First Floor;07/02/2019-07;88
CB First Floor;07/02/2019-08;107
CB First Floor;07/02/2019-09;106
CB First Floor;07/02/2019-10;107
CB First Floor;07/02/2019-11;116
CB First Floor;07/02/2019-12;122
CB First Floor;07/02/2019-13;123
CB First Floor;07/02/2019-14;123
CB First Floor;07/02/2019-15;107
CB First Floor;07/02/2019-16;106
CB First Floor;07/02/2019-17;101
CB First Floor;07/02/2019-18;89
CB First Floor;07/02/2019-19;79
CB First Floor;07/02/2019-20;74
CB First Floor;07/02/2019-21;69
CB First Floor;07/02/2019-22;70
CB First Floor;07/02/2019-23;69
CB First Floor;08/02/2019-00;71
CB First Floor;08/02/2019-01;70
CB First Floor;08/02/2019-02;71
CB First Floor;08/02/2019-03;71
CB First Floor;08/02/2019-04;71
CB First Floor;08/02/2019-05;72
CB First Floor;08/02/2019-06;79
CB First Floor;08/02/2019-07;87
CB First Floor;08/02/2019-08;101
CB First Floor;08/02/2019-09;103
CB First Floor;08/02/2019-10;104
CB First Floor;08/02/2019-11;110
CB First Floor;08/02/2019-12;111
CB First Floor;08/02/2019-13;123
CB First Floor;08/02/2019-14;121
CB First Floor;08/02/2019-15;106
CB First Floor;08/02/2019-16;103
CB First Floor;08/02/2019-17;101
CB First Floor;08/02/2019-18;90
CB First Floor;08/02/2019-19;80
CB First Floor;08/02/2019-20;75
CB First Floor;08/02/2019-21;73
CB First Floor;08/02/2019-22;73
CB First Floor;08/02/2019-23;72
CB First Floor;09/02/2019-00;71
CB First Floor;09/02/2019-01;72
CB First Floor;09/02/2019-02;72
CB First Floor;09/02/2019-03;72
CB First Floor;09/02/2019-04;72
CB First Floor;09/02/2019-05;72
CB First Floor;09/02/2019-06;72
CB First Floor;09/02/2019-07;71
CB First Floor;09/02/2019-08;76
CB First Floor;09/02/2019-09;75
CB First Floor;09/02/2019-10;74
CB First Floor;09/02/2019-11;75
CB First Floor;09/02/2019-12;72
CB First Floor;09/02/2019-13;71
CB First Floor;09/02/2019-14;69
CB First Floor;09/02/2019-15;69
CB First Floor;09/02/2019-16;69
CB First Floor;09/02/2019-17;70
CB First Floor;09/02/2019-18;68
CB First Floor;09/02/2019-19;69
CB First Floor;09/02/2019-20;68
CB First Floor;09/02/2019-21;68
CB First Floor;09/02/2019-22;68
CB First Floor;09/02/2019-23;68
CB First Floor;10/02/2019-00;67
CB First Floor;10/02/2019-01;67
CB First Floor;10/02/2019-02;67
CB First Floor;10/02/2019-03;65
CB First Floor;10/02/2019-04;62
CB First Floor;10/02/2019-05;61
CB First Floor;10/02/2019-06;60
CB First Floor;10/02/2019-07;59
CB First Floor;10/02/2019-08;58
CB First Floor;10/02/2019-09;56
CB First Floor;10/02/2019-10;55
